store_id,date,region,store_type,avg_income,store_size_sqft,city_population,month,holiday_month,marketing_spend,promotion,monthly_revenue
S001,2024-01-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,1,0,3332.3140119795917,0,24763.06627491445
S001,2024-02-29,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,2,0,2251.513463443446,0,25915.90755378841
S001,2024-03-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,3,0,4551.151975522523,1,28454.696590887186
S001,2024-04-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,4,0,3115.6746342928586,1,27514.41514702379
S001,2024-05-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,5,0,4179.2971840638265,0,26305.699958268295
S001,2024-06-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,6,0,3067.518481410109,0,25459.87548101652
S001,2024-07-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,7,0,5060.747924881987,1,31728.55797178253
S001,2024-08-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,8,0,4755.340842443205,1,29739.140700807864
S001,2024-09-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,9,0,2751.0358515209264,1,27844.413080938506
S001,2024-10-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,10,0,3971.5709509543553,0,26226.845322623398
S001,2024-11-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,11,1,3645.3759495851473,0,29374.165385391792
S001,2024-12-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,12,1,4368.631557532349,0,29074.375113852286
S001,2025-01-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,1,0,2035.0765394198957,1,26369.904280360675
S001,2025-02-28,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,2,0,3686.0514599984394,0,25432.48840284589
S001,2025-03-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,3,0,4058.424486849588,0,25989.88270036142
S001,2025-04-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,4,0,1241.2605135768856,1,21098.66893187673
S001,2025-05-31,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,5,0,1816.741487334225,0,25082.1501660927
S001,2025-06-30,South,Neighborhood,55556.480853465444,2816.6787418525882,393957.9332445008,6,0,960.7678222398995,1,24953.297800726083
